Complaint ID,Date submitted,Date received,Submitted via,State,Product,Sub-product,Issue,Sub-issue,Company public response,Company response to consumer
4664995,2021-08-26,2021-08-26,Postal mail,MA,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
2560110,2017-06-27,2017-06-27,Phone,WA,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
5115722,2022-01-17,2022-01-24,Web,FL,Checking or savings account,Checking account,Opening an account,Account opened as a result of fraud,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4279903,2021-04-08,2021-04-08,Web,FL,Checking or savings account,Checking account,Closing an account,Company closed your account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
2837664,2018-03-08,2018-03-08,Web,CO,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4483260,2021-06-22,2021-06-22,Referral,OR,Credit card or prepaid card,General-purpose credit card or charge card,Fees or interest,Problem with fees,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2977343,2018-07-30,2018-07-30,Web,TX,Checking or savings account,Other banking product or service,Opening an account,Confusing or missing disclosures,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
2883941,2018-04-23,2018-04-23,Web,CA,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
3625338,2020-04-27,2020-04-27,Referral,GA,Checking or savings account,Checking account,Closing an account,Funds not received from closed account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3974425,2020-11-25,2020-11-25,Referral,MA,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
2558651,2017-06-26,2017-06-26,Referral,TX,Credit card or prepaid card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4127089,2021-02-09,2021-02-09,Web,MD,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2558132,2017-06-25,2017-06-25,Web,CT,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
3003325,2018-08-27,2018-08-27,Referral,WA,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2558200,2017-06-24,2017-06-24,Web,MA,Checking or savings account,Checking account,Managing an account,Funds not handled or disbursed as instructed,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
6397430,2023-01-04,2023-01-04,Web,NH,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with non-monetary relief
4047307,2021-01-05,2021-01-05,Web,MA,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3773297,2020-07-31,2020-07-31,Phone,WV,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3356228,2019-08-28,2019-08-28,Postal mail,MI,Mortgage,Conventional home mortgage,Struggling to pay mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2920609,2018-05-29,2018-05-29,Web,GA,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4225013,2021-03-16,2021-03-18,Referral,CA,Credit card or prepaid card,Government benefit card,Problem with a purchase or transfer,Card company isn't resolving a dispute about a purchase or transfer,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
4722258,2021-09-14,2021-09-15,Referral,NC,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with non-monetary relief
3007983,2018-09-01,2018-09-01,Web,TX,Credit card or prepaid card,General-purpose credit card or charge card,Fees or interest,Problem with fees,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
4177058,2021-03-02,2021-03-02,Web,CA,Credit card or prepaid card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4740413,2021-09-21,2021-09-21,Web,NC,Mortgage,Conventional home mortgage,Closing on a mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
4049933,2021-01-04,2021-01-06,Referral,MI,Checking or savings account,Other banking product or service,Managing an account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
4137016,2021-02-10,2021-02-12,Referral,CA,Credit card or prepaid card,Government benefit card,Trouble using the card,Problem with direct deposit,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
4037144,2020-12-29,2020-12-29,Web,CA,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2834765,2018-03-05,2018-03-06,Referral,TX,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
5268401,2022-02-25,2022-02-28,Referral,FL,Checking or savings account,Other banking product or service,Managing an account,Funds not handled or disbursed as instructed,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3540932,2020-02-22,2020-02-22,Web,MD,Checking or savings account,Other banking product or service,Opening an account,Unable to open an account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
6840994,2023-04-14,2023-04-14,Web,IL,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
4045751,2021-01-04,2021-01-06,Phone,MD,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
6667017,2023-03-08,2023-03-08,Web,CA,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Reporting company used your report improperly,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2555230,2017-06-21,2017-06-21,Referral,CA,Checking or savings account,Checking account,Managing an account,Problem making or receiving payments,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
